animal_id,date_of_birth,name,datetime,monthyear,outcome_type,outcome_subtype,animal_type,sex_upon_outcome,age_upon_outcome,breed,color,age_days
A736485,2016-05-11,Nala,2016-10-13,10-2016,Transfer,Partner,Dog,Intact Female,5 months,Plott Hound Mix,Brown Brindle,155
A735962,2016-09-02,*Nelson,2016-10-13,10-2016,Transfer,Partner,Cat,Intact Male,1 month,Domestic Medium Hair Mix,Orange Tabby,41
A735963,2016-09-02,*Norris,2016-10-13,10-2016,Transfer,Partner,Cat,Intact Male,1 month,Domestic Medium Hair Mix,Black/White,41
A736030,2016-08-25,*Maxine,2016-10-13,10-2016,Transfer,Partner,Cat,Intact Female,1 month,Domestic Shorthair Mix,Brown Tabby,49
A736031,2016-08-25,*Max,2016-10-13,10-2016,Transfer,Partner,Cat,Intact Male,1 month,Domestic Shorthair Mix,Brown Tabby,49
A736032,2016-08-25,*Winnie,2016-10-13,10-2016,Transfer,Partner,Cat,Intact Male,1 month,Siamese Mix,Lynx Point,49
A736033,2016-08-25,*Marmalade,2016-10-13,10-2016,Transfer,Partner,Cat,Intact Male,1 month,Domestic Shorthair Mix,Orange Tabby,49
A736055,2016-09-03,*Spanky,2016-10-13,10-2016,Transfer,Partner,Cat,Intact Male,1 month,Domestic Shorthair Mix,Black/White,40
A734647,2015-09-10,Rachi,2016-10-13,10-2016,Transfer,Partner,Dog,Neutered Male,1 year,Dachshund Mix,Tan/White,399
A735361,2014-09-23,Maya,2016-10-18,10-2016,Transfer,Partner,Dog,Spayed Female,2 years,Labrador Retriever,Black/White,756
A733810,2015-02-27,*Buck,2016-10-18,10-2016,Transfer,Partner,Dog,Neutered Male,1 year,Pit Bull Mix,Brown Brindle/Black,599
A715030,2012-10-30,Buster,2016-10-18,10-2016,Return to Owner,,Dog,Neutered Male,3 years,Pit Bull Mix,White/Brown,1449
A736530,2016-02-12,*Lena,2016-10-19,10-2016,Transfer,Partner,Dog,Spayed Female,8 months,German Shorthair Pointer Mix,White/Brown,250
A736579,2015-10-13,*Olive,2016-10-19,10-2016,Transfer,Partner,Dog,Spayed Female,1 year,Jack Russell Terrier Mix,Tan,372
A736537,2016-07-12,Paul,2016-10-19,10-2016,Transfer,Partner,Cat,Neutered Male,3 months,Maine Coon Mix,Brown Tabby/White,99
A736538,2016-07-12,Sawyer,2016-10-19,10-2016,Transfer,Partner,Cat,Neutered Male,3 months,Maine Coon Mix,Brown Tabby,99
A736326,2016-03-17,Carmelo,2016-10-19,10-2016,Transfer,Partner,Dog,Intact Male,7 months,Labrador Retriever/Pit Bull,Chocolate/White,216
A736866,2016-07-18,Penny,2016-10-19,10-2016,Transfer,Partner,Dog,Spayed Female,3 months,Labrador Retriever Mix,Gold,93
A736694,2015-12-15,Max,2016-10-19,10-2016,Transfer,Partner,Dog,Intact Male,10 months,Chihuahua Shorthair Mix,Tan,309
